Low,High,Last,Weight Avg
-,-,-,-
81.94,76.01,71.77,"1,096.5"
75.99,67.40,71.45,"1,011.0"
-,-,-,-
75.46,66.01,69.34,"1,037.7"
85.46,63.33,71.28,"1,131.5"
-,-,-,-
79.47,67.01,69.40,"1,063.1"
78.00,66.50,67.94,"1,067.4"
-,-,-,-
75.93,64.75,66.98,922.3
75.56,63.28,66.13,"1,090.3"
-,-,-,-
72.12,63.00,65.84,"1,043.2"
70.16,63.14,63.96,"1,059.3"
-,-,-,-
71.18,63.23,65.15,"1,023.4"
75.16,73.58,66.29,"1,011.9"
-,-,-,-
85.00,79.43,75.55,927.5
84.19,80.51,74.37,911.4
-,-,-,-
83.19,82.90,76.85,981.7
87.27,83.50,78.69,"1,061.0"
-,-,-,-
93.71,93.00,81.54,"1,177.2"
94.10,90.01,87.46,940.3
-,-,-,-
98.37,95.40,85.96,990.0
101.32,93.50,89.50,"1,424.3"
-,-,-,-
104.62,94.00,94.51,"1,530.6"
95.62,87.93,87.39,"1,361.6"
-,-,-,-
92.88,81.00,85.16,"1,572.1"
86.99,71.19,78.68,"1,568.0"
-,-,-,-
84.44,68.00,74.93,"1,297.8"
79.01,70.00,72.26,"1,101.1"
-,-,-,-
79.42,65.32,71.37,"1,223.2"
76.86,69.48,70.37,"1,108.1"
-,-,-,-
80.70,66.00,70.80,"1,034.6"
77.35,65.55,69.46,"1,074.4"
-,-,-,-
86.37,85.34,73.62,"1,377.4"
105.42,89.03,77.31,"1,824.1"
-,-,-,-
105.01,103.00,88.00,"1,514.2"
118.49,109.90,93.99,"1,527.6"
-,-,-,-
119.47,113.00,103.19,"2,496.5"
116.22,106.00,106.83,"2,395.7"
-,-,-,-
129.96,105.00,112.01,"2,876.1"
140.48,108.00,112.21,"3,088.2"
-,-,-,-
149.96,107.45,111.64,"2,745.1"
130.49,106.96,108.14,"2,379.6"
-,-,-,-
115.27,109.50,103.14,"2,629.6"
109.84,108.00,96.24,"2,729.9"
-,-,-,-
100.77,86.75,86.57,"2,424.3"
107.07,77.00,81.24,"2,144.9"
-,-,-,-
95.17,68.80,81.87,"2,902.7"
89.24,74.25,80.69,"2,070.2"
-,-,-,-
124.99,75.13,80.19,"2,314.3"
86.60,79.98,80.39,"2,724.8"
